web-scraper-order,web-scraper-start-url,container_link,container_link-href,title,price,description,features,image-src,ratings,ratings-href
"1677256730-15","https://www.jumia.co.ke/computing/","Generic Type C Micro USB SD TF OTG Card Reader 5 In 1KSh 390KSh 78050%","https://www.jumia.co.ke/generic-type-c-micro-usb-sd-tf-otg-card-reader-5-in-1-72777261.html","Generic Type C Micro USB SD TF OTG Card Reader 5 In 1","KSh 390","+ shipping from KSh 92 to Embakasi East - Utawala/mihango/GSU","","null","(No ratings available)",""
"1677256742-16","https://www.jumia.co.ke/computing/","HP EliteBook 820 Core I5 4GB RAM 500gb Hdd Slim Ultrabook Laptop RefurbishedKSh 18,900KSh 30,00037%","https://www.jumia.co.ke/hp-elitebook-820-core-i5-4gb-ram-500gb-hdd-slim-ultrabook-laptop-refurbished-96361564.html","HP EliteBook 820 Core I5 4GB RAM 500gb Hdd Slim Ultrabook Laptop Refurbished","KSh 18,900","+ shipping from KSh 166 to Embakasi East - Utawala/mihango/GSU","Internal Storage    500GB","null","(No ratings available)",""
"1677256742-17","https://www.jumia.co.ke/computing/","HP EliteBook 820 Core I5 4GB RAM 500gb Hdd Slim Ultrabook Laptop RefurbishedKSh 18,900KSh 30,00037%","https://www.jumia.co.ke/hp-elitebook-820-core-i5-4gb-ram-500gb-hdd-slim-ultrabook-laptop-refurbished-96361564.html","HP EliteBook 820 Core I5 4GB RAM 500gb Hdd Slim Ultrabook Laptop Refurbished","KSh 18,900","+ shipping from KSh 166 to Embakasi East - Utawala/mihango/GSU","Graphics    Integrated","null","(No ratings available)",""
"1677256742-18","https://www.jumia.co.ke/computing/","HP EliteBook 820 Core I5 4GB RAM 500gb Hdd Slim Ultrabook Laptop RefurbishedKSh 18,900KSh 30,00037%","https://www.jumia.co.ke/hp-elitebook-820-core-i5-4gb-ram-500gb-hdd-slim-ultrabook-laptop-refurbished-96361564.html","HP EliteBook 820 Core I5 4GB RAM 500gb Hdd Slim Ultrabook Laptop Refurbished","KSh 18,900","+ shipping from KSh 166 to Embakasi East - Utawala/mihango/GSU","1 USB 3.0","null","(No ratings available)",""
"1677256742-19","https://www.jumia.co.ke/computing/","HP EliteBook 820 Core I5 4GB RAM 500gb Hdd Slim Ultrabook Laptop RefurbishedKSh 18,900KSh 30,00037%","https://www.jumia.co.ke/hp-elitebook-820-core-i5-4gb-ram-500gb-hdd-slim-ultrabook-laptop-refurbished-96361564.html","HP EliteBook 820 Core I5 4GB RAM 500gb Hdd Slim Ultrabook Laptop Refurbished","KSh 18,900","+ shipping from KSh 166 to Embakasi East - Utawala/mihango/GSU","Intel® Ethernet Connection I219-V 10/100/1000 (with Intel® i3-6100U, i5-6200U, and i7-6500U)","null","(No ratings available)",""
"1677256742-20","https://www.jumia.co.ke/computing/","HP EliteBook 820 Core I5 4GB RAM 500gb Hdd Slim Ultrabook Laptop RefurbishedKSh 18,900KSh 30,00037%","https://www.jumia.co.ke/hp-elitebook-820-core-i5-4gb-ram-500gb-hdd-slim-ultrabook-laptop-refurbished-96361564.html","HP EliteBook 820 Core I5 4GB RAM 500gb Hdd Slim Ultrabook Laptop Refurbished","KSh 18,900","+ shipping from KSh 166 to Embakasi East - Utawala/mihango/GSU","Intel® Dual Band Wireless-AC 8260 802.11a/b/g/n/ac (2x2) WiFi and Bluetooth® 4.2 Combo","null","(No ratings available)",""
"1677256742-21","https://www.jumia.co.ke/computing/","HP EliteBook 820 Core I5 4GB RAM 500gb Hdd Slim Ultrabook Laptop RefurbishedKSh 18,900KSh 30,00037%","https://www.jumia.co.ke/hp-elitebook-820-core-i5-4gb-ram-500gb-hdd-slim-ultrabook-laptop-refurbished-96361564.html","HP EliteBook 820 Core I5 4GB RAM 500gb Hdd Slim Ultrabook Laptop Refurbished","KSh 18,900","+ shipping from KSh 166 to Embakasi East - Utawala/mihango/GSU","1 media card reader","null","(No ratings available)",""
"1677256742-22","https://www.jumia.co.ke/computing/","HP EliteBook 820 Core I5 4GB RAM 500gb Hdd Slim Ultrabook Laptop RefurbishedKSh 18,900KSh 30,00037%","https://www.jumia.co.ke/hp-elitebook-820-core-i5-4gb-ram-500gb-hdd-slim-ultrabook-laptop-refurbished-96361564.html","HP EliteBook 820 Core I5 4GB RAM 500gb Hdd Slim Ultrabook Laptop Refurbished","KSh 18,900","+ shipping from KSh 166 to Embakasi East - Utawala/mihango/GSU","Supports SD, SDHC, SDXC.","null","(No ratings available)",""
"1677256755-23","https://www.jumia.co.ke/computing/","HP Refurbished EliteBook Folio 9470 14"" Intel Core I5 4GB, 500GBKSh 22,800KSh 29,00021%","https://www.jumia.co.ke/hp-refurbished-elitebook-folio-9470-14-intel-core-i5-4gb-500gb-91011935.html","HP Refurbished EliteBook Folio 9470 14"" Intel Core I5 4GB, 500GB","KSh 22,800","+ shipping from KSh 166 to Embakasi East - Utawala/mihango/GSU","","null","(No ratings available)",""
"1677256770-24","https://www.jumia.co.ke/computing/","HP Refurbished Elitebook 9470m..,Core I5 Intel 4thGen, 500GB HHD, 4GB RAM,14"" - SilverKSh 26,200KSh 33,50022%","https://www.jumia.co.ke/hp-refurbished-elitebook-9470m..core-i5-intel-4thgen-500gb-hhd-4gb-ram14-silver-69975344.html","HP Refurbished Elitebook 9470m..,Core I5 Intel 4thGen, 500GB HHD, 4GB RAM,14"" - Silver","KSh 26,200","+ shipping from KSh 166 to Embakasi East - Utawala/mihango/GSU","OS: Win 10 Installed","null","(No ratings available)",""
