Subject,title,price,description,features,Order_No,Unit,tokenized_text,stemmed_text,lemmatized_text
generic type c micro usb sd tf otg card reader 5 in 1ksh 390ksh 78050 ,generic type c micro usb sd tf otg card reader 5 in 1,ksh 390,  shipping from ksh 92 to embakasi east   utawala mihango gsu,not avilable,1677256730,15,shipping ksh 92 embakasi east utawala mihango gsu,ship ksh 92 embakasi east utawala mihango gsu,ship ksh 92 embakasi east utawala mihango gsu
hp elitebook 820 core i5 4gb ram 500gb hdd slim ultrabook laptop refurbishedksh 18 900ksh 30 00037 ,hp elitebook 820 core i5 4gb ram 500gb hdd slim ultrabook laptop refurbished,ksh 18 900,  shipping from ksh 166 to embakasi east   utawala mihango gsu,internal storage    500gb,1677256742,16,shipping ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu
hp elitebook 820 core i5 4gb ram 500gb hdd slim ultrabook laptop refurbishedksh 18 900ksh 30 00037 ,hp elitebook 820 core i5 4gb ram 500gb hdd slim ultrabook laptop refurbished,ksh 18 900,  shipping from ksh 166 to embakasi east   utawala mihango gsu,graphics   integrated,1677256742,17,shipping ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu
hp elitebook 820 core i5 4gb ram 500gb hdd slim ultrabook laptop refurbishedksh 18 900ksh 30 00037 ,hp elitebook 820 core i5 4gb ram 500gb hdd slim ultrabook laptop refurbished,ksh 18 900,  shipping from ksh 166 to embakasi east   utawala mihango gsu,1 usb 3 0,1677256742,18,shipping ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu
hp elitebook 820 core i5 4gb ram 500gb hdd slim ultrabook laptop refurbishedksh 18 900ksh 30 00037 ,hp elitebook 820 core i5 4gb ram 500gb hdd slim ultrabook laptop refurbished,ksh 18 900,  shipping from ksh 166 to embakasi east   utawala mihango gsu,intel  ethernet connection i219 v 10 100 1000  with intel  i3 6100u  i5 6200u  and i7 6500u ,1677256742,19,shipping ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu
hp elitebook 820 core i5 4gb ram 500gb hdd slim ultrabook laptop refurbishedksh 18 900ksh 30 00037 ,hp elitebook 820 core i5 4gb ram 500gb hdd slim ultrabook laptop refurbished,ksh 18 900,  shipping from ksh 166 to embakasi east   utawala mihango gsu,intel  dual band wireless ac 8260 802 11a b g n ac  2x2  wifi and bluetooth  4 2 combo,1677256742,20,shipping ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu
hp elitebook 820 core i5 4gb ram 500gb hdd slim ultrabook laptop refurbishedksh 18 900ksh 30 00037 ,hp elitebook 820 core i5 4gb ram 500gb hdd slim ultrabook laptop refurbished,ksh 18 900,  shipping from ksh 166 to embakasi east   utawala mihango gsu,1 media card reader,1677256742,21,shipping ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu
hp elitebook 820 core i5 4gb ram 500gb hdd slim ultrabook laptop refurbishedksh 18 900ksh 30 00037 ,hp elitebook 820 core i5 4gb ram 500gb hdd slim ultrabook laptop refurbished,ksh 18 900,  shipping from ksh 166 to embakasi east   utawala mihango gsu,supports sd  sdhc  sdxc ,1677256742,22,shipping ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu
hp refurbished elitebook folio 9470 14  intel core i5 4gb  500gbksh 22 800ksh 29 00021 ,hp refurbished elitebook folio 9470 14  intel core i5 4gb  500gb,ksh 22 800,  shipping from ksh 166 to embakasi east   utawala mihango gsu,not avilable,1677256755,23,shipping ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu
hp refurbished elitebook 9470m core i5 intel 4thgen  500gb hhd  4gb ram 14    silverksh 26 200ksh 33 50022 ,hp refurbished elitebook 9470m core i5 intel 4thgen  500gb hhd  4gb ram 14    silver,ksh 26 200,  shipping from ksh 166 to embakasi east   utawala mihango gsu,os  win 10 installed,1677256770,24,shipping ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu
hp refurbished elitebook 9470m core i5 intel 4thgen  500gb hhd  4gb ram 14    silverksh 26 200ksh 33 50022 ,hp refurbished elitebook 9470m core i5 intel 4thgen  500gb hhd  4gb ram 14    silver,ksh 26 200,  shipping from ksh 166 to embakasi east   utawala mihango gsu,ram  4gb ram,1677256770,25,shipping ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu
hp refurbished elitebook 9470m core i5 intel 4thgen  500gb hhd  4gb ram 14    silverksh 26 200ksh 33 50022 ,hp refurbished elitebook 9470m core i5 intel 4thgen  500gb hhd  4gb ram 14    silver,ksh 26 200,  shipping from ksh 166 to embakasi east   utawala mihango gsu,hard drive  500gb,1677256770,26,shipping ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu
hp refurbished elitebook 9470m core i5 intel 4thgen  500gb hhd  4gb ram 14    silverksh 26 200ksh 33 50022 ,hp refurbished elitebook 9470m core i5 intel 4thgen  500gb hhd  4gb ram 14    silver,ksh 26 200,  shipping from ksh 166 to embakasi east   utawala mihango gsu,wireless protocol  802 11n  bluetooth 4 0,1677256770,27,shipping ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu
hp refurbished elitebook 9470m core i5 intel 4thgen  500gb hhd  4gb ram 14    silverksh 26 200ksh 33 50022 ,hp refurbished elitebook 9470m core i5 intel 4thgen  500gb hhd  4gb ram 14    silver,ksh 26 200,  shipping from ksh 166 to embakasi east   utawala mihango gsu,usb,1677256770,28,shipping ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu
hp refurbished elitebook 9470m core i5 intel 4thgen  500gb hhd  4gb ram 14    silverksh 26 200ksh 33 50022 ,hp refurbished elitebook 9470m core i5 intel 4thgen  500gb hhd  4gb ram 14    silver,ksh 26 200,  shipping from ksh 166 to embakasi east   utawala mihango gsu,supported flash memory  sd memory card   sdhc memory card   sdxc memory card,1677256770,29,shipping ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu
hp refurbished elitebook 9470m core i5 intel 4thgen  500gb hhd  4gb ram 14    silverksh 26 200ksh 33 50022 ,hp refurbished elitebook 9470m core i5 intel 4thgen  500gb hhd  4gb ram 14    silver,ksh 26 200,  shipping from ksh 166 to embakasi east   utawala mihango gsu,graphics processor  intel hd graphics 4600,1677256770,30,shipping ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu
